Date Executed,Period Date For Workload,Period Type,Client,DB,System ID,OS,SAP Release,Hostname,,,,,,,,,,,
CS03,1,753,32802,4,0.042,0.012,0.001,0,0.0999,0.1549,T,Display Material BOM,LO,Bills of Material,Application Components->Logistics - General->Logistics Basic Data->Bills of Material->CS03(Display Material BOM),SAP->LO->LO-MD->LO-MD-BOM->CS03(Display,,,
BCALV_EDIT_03,1,4767,753687,184,0.042,0.074,0.034,0.004,0,0.154,R,Verification of modified cells,BC,SAP List Viewer,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP List Viewer->BCALV_EDIT_03(Verification of modified cells),SAP->BC->BC-SRV->BC-SRV-ALV->BCALV_EDIT_,,,
SAPCALENDAR_NAVI,3,1364,89396,29,0.127,0.021,0.004,0.001,0,0.153,T,Testtransaction Calendar Control,BC,SAP Internet Transaction Server,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP Internet Transaction Server->SAPCALENDAR_NAVI(Testtransaction Calendar Control),SAP->BC->BC-FES->BC-FES-ITS->SAPCALENDAR,,,
XK01,2,30,11420,235,0.085,0,0.001,0.005,0.05985,0.15085,T,Create Vendor (Centrally),LO,Vendor Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->XK01(Create Vendor (Centrally)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-VM->X,,,
ME2L,3,165,20053,425,0.127,0.003,0.001,0.009,0.01005,0.15005,T,Purchase Orders by Supplier,MM,Purchasing,Application Components->Materials Management->Purchasing->ME2L(Purchase Orders by Supplier),SAP->MM->MM-PUR->ME2L(Purchase Orders by,,,
fin.acc.query.analyze,2,5,28,4799907,0.085,0.002,0,0.046,0.0168,0.1498,F,Analyze Design Studio Query,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for General Ledger Accounting->Fiori UI for General Ledger Accounting->fin.acc.query.analyze(Analyze Design St,FI-FIO-GL-IS,,,
FB10,2,30,2153,1721,0.085,0,0,0.038,0.02475,0.14775,T,Invoice/Credit Fast Entry,FI,Financial Accounting,Application Components->Financial Accounting->FB10(Invoice/Credit Fast Entry),SAP->FI->FB10(Invoice/Credit Fast Entry),,,
F-43,2,5,597,1721,0.085,0,0,0.038,0.02475,0.14775,T,Enter Vendor Invoice,FI,Financial Accounting,Application Components->Financial Accounting->F-43(Enter Vendor Invoice),SAP->FI->F-43(Enter Vendor Invoice),,,
FB50,1,119,61647,1721,0.042,0.002,0.003,0.038,0.06,0.145,T,G/L Acct Pstg: Single Screen Trans.,FI,Financial Accounting,Application Components->Financial Accounting->FB50(G/L Acct Pstg: Single Screen Trans.),SAP->FI->FB50(G/L Acct Pstg: Single Scre,,,
FD02,2,21,3075,230,0.085,0,0,0.005,0.05475,0.14475,T,Change Customer (Accounting),LO,Customer Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Customer Master->FD02(Change Customer (Accounting)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-CM->F,,,
TRIP,3,45,26637,639,0.127,0.001,0.001,0.014,0,0.143,T,Travel Manager,BC,Travel Manager,Application Components->Basis Components->ABAP Runtime Environment - ABAP Language Issues Only->Travel Manager->TRIP(Travel Manager),SAP->BC->BC-ABA->FI-TV-COS->TRIP(Travel,,,
ME52NB,2,2,2,44,0.085,0,0,0.001,0.05445,0.14045,T,Buyer Approval: Purchase Requisition,MM,Purchasing,Application Components->Materials Management->Purchasing->ME52NB(Buyer Approval: Purchase Requisition),SAP->MM->MM-PUR->ME52NB(Buyer Approval:,,,
SAPMSSY1,3,354,26911,184,0.127,0.005,0.001,0.004,0,0.137,R,CPIC and RFC Control,BC,RFC,Application Components->Basis Components->Middleware->RFC->SAPMSSY1(CPIC and RFC Control),SAP->BC->BC-MID->BC-MID-RFC->SAPMSSY1(CP,,,
IQS1,1,8,5198,1079,0.042,0,0,0.024,0.0693,0.1353,T,Create Notification - Extended View,QM,Quality Notifications,Application Components->Quality Management->Quality Notifications->IQS1(Create Notification - Extended View),SAP->QM->QM-QN->IQS1(Create Notification,,,
XK02,2,25,3058,235,0.085,0,0,0.005,0.04455,0.13455,T,Change vendor (centrally),LO,Vendor Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->XK02(Change vendor (centrally)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-VM->X,,,
F-06,1,2,330,1721,0.042,0,0,0.038,0.05445,0.13445,T,Post Incoming Payments,FI,General Ledger Accounting,Application Components->Financial Accounting->General Ledger Accounting->F-06(Post Incoming Payments),SAP->FI->FI-GL->F-06(Post Incoming Payme,,,
MR8M,1,1,1,1701,0.042,0,0,0.038,0.05445,0.13445,T,Cancel Invoice Document,MM,Invoice Verification,Application Components->Materials Management->Invoice Verification->MR8M(Cancel Invoice Document),SAP->MM->MM-IV->MR8M(Cancel Invoice Docu,,,
VLPOD,1,1,1217,1632,0.042,0,0,0.036,0.05445,0.13245,T,POD - Change Outbound Delivery,LE,Shipping,Application Components->Logistics Execution->Shipping->VLPOD(POD - Change Outbound Delivery),SAP->LE->LE-SHP->VLPOD(POD - Change Outb,,,
SE12,1,302,28925,16,0.042,0.005,0.001,0,0.0843,0.1323,T,ABAP Dictionary Display,BC,Data Dictionary Tools in ABAP Workbench,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->ABAP Dictionary->Data Dictionary Tools in ABAP Workbench->SE12(ABAP Dictionary Display),SAP->BC->BC-DWB->BC-DWB-DIC->BC-DWB-DIC-,,,
BALVHT01,3,35,7049,184,0.127,0.001,0,0.004,0,0.132,R,Test program ALV: hierarchical-sequentia,BC,SAP List Viewer,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP List Viewer->BALVHT01(Test program ALV: hierarchical-sequential list flight model),SAP->BC->BC-SRV->BC-SRV-ALV->BALVHT01(Te,,,
SAPTOOLBAR_DEMO1,3,148,11140,24,0.127,0.002,0.001,0.001,0,0.131,T,Test Transaction: Toolbar Control,BC,SAP GUI for Windows Controls,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP GUI for Windows Controls->SAPTOOLBAR_DEMO1(Test Transaction: Toolbar Control),SAP->BC->BC-FES->BC-FES-CTL->SAPTOOLBAR_,,,
LOGOFF,3,6,60,184,0.127,0,0,0.004,0,0.131,R,,CA,Cross-Application Components,Application Components->Cross-Application Components->LOGOFF(),SAP->CA->LOGOFF(),,,
BCALV_GRID_08,3,19,2293,184,0.127,0,0,0.004,0,0.131,R,Define a Menu with Default Pushbutton,BC,SAP List Viewer,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP List Viewer->BCALV_GRID_08(Define a Menu with Default Pushbutton),SAP->BC->BC-SRV->BC-SRV-ALV->BCALV_GRID_,,,
SM21,3,90,53602,35,0.127,0.001,0.002,0.001,0,0.131,T,system log,BC,SAP System Log,Application Components->Basis Components->Use Subcomponents->CCMS Monitoring & Alerting->SAP System Log->SM21(system log),SAP->BC->BC-CCM->BC-CCM-MON->BC-CCM-MON-,,,
FGI3,1,25,10076,840,0.042,0,0,0.019,0.0693,0.1303,T,Display Report,FI,Information System,Application Components->Financial Accounting->General Ledger Accounting->Information System->FGI3(Display Report),SAP->FI->FI-GL->FI-GL-IS->FGI3(Display R,,,
cus.sd.salesorder.factsheet,2,9,594,521969,0.085,0.004,0,0.005,0.03375,0.12775,F,cus.sd.salesorder.factsheet,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->cus.sd.salesorder.factsheet(cus.sd.salesorder.factsheet),SD-SLS,,,
XD02,1,81,11291,230,0.042,0.001,0.001,0.005,0.07515,0.12415,T,Change Customer (Centrally),LO,Customer Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Customer Master->XD02(Change Customer (Centrally)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-CM->X,,,
VD02,1,56,8693,230,0.042,0.001,0,0.005,0.07515,0.12315,T,Change Customer (Sales),LO,Customer Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Customer Master->VD02(Change Customer (Sales)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-CM->V,,,
ME22N,2,47,24,899688,0.085,0.019,0,0.009,0.01005,0.12305,W,Change Purchase Order,MM,Materials Management,Application Components->Materials Management->Purchasing->ME22N(Change Purchase Order),MM-PUR,,,
/SCWM/TO_CONF,1,2,2738,449,0.042,0,0,0.01,0.0693,0.1213,T,Confirm Warehouse Task,SC,Extended Warehouse Management,Application Components->Supply Chain Management->Extended Warehouse Management->/SCWM/TO_CONF(Confirm Warehouse Task),SAP->SCM->SCM-EWM->/SCWM/TO_CONF(Confirm,,,
VA03,2,40,56,669780,0.085,0.017,0,0.006,0.0117,0.1197,W,Display Sales Orders,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->VA03(Display Sales Orders),SD-SLS,,,
GJ2B,1,62,12826,0,0.042,0.001,0.001,0,0.0744,0.1184,T,Maintain JV partners,CA,Joint Venture und Production Sharing Acc,Application Components->Cross-Application Components->Joint Venture und Production Sharing Acc->GJ2B(Maintain JV partners),SAP->CA->CA-JVA->GJ2B(Maintain JV partne,,,
i2d.pp.prdorderissue.monitor.s1,2,14,12,443577,0.085,0.006,0,0.004,0.02265,0.11765,F,Monitor Production Orders - S4H OP,PP,Production Planning and Control,Application Components->Production Planning and Control->Fiori UI for Production Planning and Control->Fiori UI for Production Planning and Control->i2d.pp.prdorderissue.monitor.s1(Monitor Production,PP-FIO-MRP,,,
VF03,2,9,5169,1153,0.085,0,0,0.026,0.00495,0.11595,T,Display Billing Documents,SD,Billing,Application Components->Sales and Distribution->Billing->VF03(Display Billing Documents),SAP->SD->SD-BIL->VF03(Display Billing Do,,,
SE01,1,102,22311,50,0.042,0.002,0.001,0.001,0.0693,0.1153,T,Transport Organizer (Extended),BC,Transport Organizer,Application Components->Basis Components->Change & Transport System->Transport Organizer->SE01(Transport Organizer (Extended)),SAP->BC->BC-CTS->BC-CTS-ORG->SE01(Transp,,,
F-36,1,8,784,1721,0.042,0,0,0.038,0.03465,0.11465,T,Bill of Exchange Payment,FI,Financial Accounting,Application Components->Financial Accounting->F-36(Bill of Exchange Payment),SAP->FI->F-36(Bill of Exchange Payment),,,
F-03,1,1,1542,1721,0.042,0,0,0.038,0.03465,0.11465,T,Clear G/L Account,FI,Financial Accounting,Application Components->Financial Accounting->F-03(Clear G/L Account),SAP->FI->F-03(Clear G/L Account),,,
FB41,1,1,1227,1721,0.042,0,0,0.038,0.03465,0.11465,T,Post Tax Payable,FI,General Ledger Accounting,Application Components->Financial Accounting->General Ledger Accounting->FB41(Post Tax Payable),SAP->FI->FI-GL->FB41(Post Tax Payable),,,
FB75,1,2,245,1721,0.042,0,0,0.038,0.03465,0.11465,T,Enter Outgoing Credit Memos,FI,Financial Accounting,Application Components->Financial Accounting->FB75(Enter Outgoing Credit Memos),SAP->FI->FB75(Enter Outgoing Credit Memo,,,
F-52,1,3,388,1721,0.042,0,0,0.038,0.03465,0.11465,T,Post Incoming Payments,FI,Financial Accounting,Application Components->Financial Accounting->F-52(Post Incoming Payments),SAP->FI->F-52(Post Incoming Payments),,,
F-40,1,2,416,1721,0.042,0,0,0.038,0.03465,0.11465,T,Bill of Exchange Payment,FI,Financial Accounting,Application Components->Financial Accounting->F-40(Bill of Exchange Payment),SAP->FI->F-40(Bill of Exchange Payment),,,
VAX1_VBTYP,1,1,792,68,0.042,0,0,0.002,0.0693,0.1133,T,Create Sales Document,SD,Sales,Application Components->Sales and Distribution->Sales->VAX1_VBTYP(Create Sales Document),SAP->SD->SD-SLS->VAX1_VBTYP(Create Sales,,,
SE51,1,20,1566,23,0.042,0,0,0.001,0.0693,0.1123,T,Screen Painter,BC,Screen Painter,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Tools: Editors  Painters  Modelers->Screen Painter->SE51(Screen Painter),SAP->BC->BC-DWB->BC-DWB-TOO->BC-DWB-TOO-,,,
SUCOMP,1,21,925,67,0.042,0,0,0.001,0.0693,0.1123,T,User company address maintenance,BC,User and Authorization Management,Application Components->Basis Components->Security->User Administration->User and Authorization Management->SUCOMP(User company address maintenance),SAP->BC->BC-SEC->BC-SEC-USR->BC-SEC-USR-,,,
SEGW,1,84,7674,0,0.042,0.001,0,0,0.0693,0.1123,T,SAP Gateway Service Builder,OP,Gateway SAP Data Enablement,Application Components->Occasional Platform User->Gateway Business Suite Enablement->Gateway SAP Data Enablement->SEGW(SAP Gateway Service Builder),SAP->OPU->OPU-BSE->OPU-BSE-SDE->SEGW(SAP,,,
/SCWM/MON,1,3,1308,59,0.042,0,0,0.001,0.0693,0.1123,T,Warehouse Management Monitor,SC,Monitoring,Application Components->Supply Chain Management->Extended Warehouse Management->Monitoring->/SCWM/MON(Warehouse Management Monitor),SAP->SCM->SCM-EWM->SCM-EWM-MON->/SCWM/MO,,,
SE09,1,1,1,50,0.042,0,0,0.001,0.0693,0.1123,T,Transport Organizer,BC,Transport Organizer,Application Components->Basis Components->Change & Transport System->Transport Organizer->SE09(Transport Organizer),SAP->BC->BC-CTS->BC-CTS-ORG->SE09(Transp,,,
WB_NEW_WINDOW,1,8,4339,7,0.042,0,0,0,0.0693,0.1113,T,Workbench: Opens new window,BC,Repository Browser,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Utilities->Repository Browser->WB_NEW_WINDOW(Workbench: Opens new window),SAP->BC->BC-DWB->BC-DWB-UTL->BC-DWB-UTL-,,,
/SCWM/GRPI,1,2,6949,5,0.042,0,0,0,0.0693,0.1113,T,GR Preparation: Production,SC,User Interface,Application Components->Supply Chain Management->Extended Warehouse Management->Delivery Processing->User Interface->/SCWM/GRPI(GR Preparation: Production),SAP->SCM->SCM-EWM->SCM-EWM-DLP->SCM-EWM-,,,
FSE2_XBRL,2,3,14,36,0.085,0,0,0.001,0.02475,0.11075,T,Change F/S Version (XBRL),FI,General Ledger Accounting,Application Components->Financial Accounting->General Ledger Accounting->FSE2_XBRL(Change F/S Version (XBRL)),SAP->FI->FI-GL->FSE2_XBRL(Change F/S Ver,,,
FAGLB03,2,207,47252,163,0.085,0.003,0.002,0.004,0.015,0.109,T,Display Balances,FI,General Ledger Accounting,Application Components->Financial Accounting->General Ledger Accounting->FAGLB03(Display Balances),SAP->FI->FI-GL->FAGLB03(Display Balances,,,
KCH2,2,112,9884,112,0.085,0.002,0,0.002,0.0198,0.1088,T,Change profit center hierarchy,EC,Profit Center Accounting,Application Components->Enterprise Controlling->Profit Center Accounting->KCH2(Change profit center hierarchy),SAP->EC->EC-PCA->KCH2(Change profit cent,,,
MM03,2,28,22,521445,0.085,0.012,0,0.005,0.00615,0.10815,W,Display Material &,LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Material Master->MM03(Display Material &),LO-MD-MM,,,
FK01,1,32,20866,235,0.042,0,0.001,0.005,0.05985,0.10785,T,Create Vendor (Accounting),LO,Vendor Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->FK01(Create Vendor (Accounting)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-VM->F,,,
SAPTEXTEDIT_TEST_1,2,973,50178,184,0.085,0.015,0.002,0.004,0,0.106,R,Test for ABAP Global Wrapper Class of Te,BC,SAP GUI for Windows Controls,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP GUI for Windows Controls->SAPTEXTEDIT_TEST_1(Test for ABAP Global Wrapper Class of TextEdit,SAP->BC->BC-FES->BC-FES-CTL->SAPTEXTEDIT,,,
SE39,2,21,6797,23,0.085,0,0,0.001,0.0198,0.1058,T,ABAP Split Screen Editor,BC,ABAP Editor,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Tools: Editors  Painters  Modelers->ABAP Editor->SE39(ABAP Split Screen Editor),SAP->BC->BC-DWB->BC-DWB-TOO->BC-DWB-TOO-,,,
fin.ap.payment.post,2,2,169,672080,0.085,0.001,0,0.006,0.01305,0.10505,F,Fiori App - Post Outgoing Payment - BSP,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for Accounts Payable->fin.ap.payment.post(Fiori App - Post Outgoing Payment - BSP),FI-FIO-AP,,,
FB08,1,6,4048,1721,0.042,0,0,0.038,0.02475,0.10475,T,Reverse Document,FI,Financial Accounting,Application Components->Financial Accounting->FB08(Reverse Document),SAP->FI->FB08(Reverse Document),,,
FBL5H,1,1,12804,286,0.042,0,0.001,0.006,0.05445,0.10345,T,Customer Line Item Browser,FI,Information System,Application Components->Financial Accounting->General Ledger Accounting->Information System->FBL5H(Customer Line Item Browser),SAP->FI->FI-GL->FI-GL-IS->FBL5H(Customer,,,
DWDM,2,25,10,362092,0.085,0.01,0,0.003,0.00525,0.10325,W,Development Workbench Demos,BC,Basis Components,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP Internet Transaction Server->DWDM(Development Workbench Demos),BC-FES-ITS,,,
VL01,1,1,1,1632,0.042,0,0,0.036,0.02475,0.10275,T,Create Delivery,LE,Shipping,Application Components->Logistics Execution->Shipping->VL01(Create Delivery),SAP->LE->LE-SHP->VL01(Create Delivery),,,
VL01NO,1,1,800,1632,0.042,0,0,0.036,0.02475,0.10275,T,Create Outbound Dlv. w/o Order Ref.,LE,Shipping,Application Components->Logistics Execution->Shipping->VL01NO(Create Outbound Dlv. w/o Order Ref.),SAP->LE->LE-SHP->VL01NO(Create Outbound,,,
PFCG,2,21,11,408478,0.085,0.009,0,0.004,0.00435,0.10235,W,Role Maintenance,BC,Basis Components,Application Components->Basis Components->Security->Authorization Management->ABAP Authorization and Role Management->PFCG(Role Maintenance),BC-SEC-AUT-PFC,,,
XD03,2,25,5210,230,0.085,0,0,0.005,0.01005,0.10005,T,Display Customer (Centrally),LO,Customer Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Customer Master->XD03(Display Customer (Centrally)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-CM->X,,,
cus.sd.sofulfil.analyzes1,2,3,22,436112,0.085,0.001,0,0.004,0.01005,0.10005,F,Sales Order Fulfillment - Analyze Issues,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales and Distribution->Sales and Distribution->cus.sd.sofulfil.analyzes1(Sales Order Fulfillment - Analyze Issues),SD-FIO-HBA,,,
/SCWM/PI_COUNTLIST,1,16,4795,126,0.042,0,0,0.003,0.05445,0.09945,T,Create Phys. Inventory Count in List,SC,Physical Inventory,Application Components->Supply Chain Management->Extended Warehouse Management->Physical Inventory->/SCWM/PI_COUNTLIST(Create Phys. Inventory Count in List),SAP->SCM->SCM-EWM->SCM-EWM-PI->/SCWM/PI_,,,
ST03,2,61,35261,262,0.085,0.001,0.002,0.006,0.00495,0.09895,T,Workload and Performance Statistics,BC,CCMS Monitoring & Alerting,Application Components->Basis Components->Use Subcomponents->CCMS Monitoring & Alerting->ST03(Workload and Performance Statistics),SAP->BC->BC-CCM->BC-CCM-MON->ST03(Worklo,,,
MB51,2,2,1196,392,0.085,0,0,0.009,0.00495,0.09895,T,Material Doc. List,MM,Inventory Management,Application Components->Materials Management->Inventory Management->MB51(Material Doc. List),SAP->MM->MM-IM->MB51(Material Doc. List),,,
mdm.md.customer.manage,2,5,48,244747,0.085,0.002,0,0.002,0.0096,0.0986,F,Customer Object Page,LO,Logistics - General,Application Components->Logistics - General->Logistics Basic Data->Fiori UI for Basic Data in Logistics->Fiori UI for Basic Data in Logistics->mdm.md.customer.manage(Customer Object Page),LO-MD-FIO-CM,,,
VL10G,1,7,2670,0,0.042,0,0,0,0.05445,0.09645,T,Documents due for Delivery,LE,Shipping,Application Components->Logistics Execution->Shipping->VL10G(Documents due for Delivery),SAP->LE->LE-SHP->VL10G(Documents due for,,,
VF04,1,7,2387,21,0.042,0,0,0,0.05445,0.09645,T,Maintain Billing Due List,SD,Billing,Application Components->Sales and Distribution->Billing->VF04(Maintain Billing Due List),SAP->SD->SD-BIL->VF04(Maintain Billing D,,,
USMD_CHANGE_DOCUMENT,2,16,16,27251,0.085,0.007,0,0,0.00435,0.09635,W,Change Documents,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Application Framework->USMD_CHANGE_DOCUMENT(Change Documents),CA-MDG-AF,,,
s4.cfnd.managesearchmodel,2,5,5,162006,0.085,0.002,0,0.002,0.0063,0.0953,F,Search modeler to build CDS-based Enterp,CA,Cross-Application Components,Application Components->Cross-Application Components->General Application Functions->HANA Search for Business Suite->s4.cfnd.managesearchmodel(Search modeler to build CDS-based Enterp),CA-GTF-HSB,,,
IBO_WDA_INBOX,2,12,23,55607,0.085,0.005,0,0.001,0.00315,0.09415,W,Lean Workflow Inbox Application,CA,Cross-Application Components,Application Components->Cross-Application Components->Processes and Tools for Enterprise Applications->Suite Inbox->IBO_WDA_INBOX(Lean Workflow Inbox Application),CA-EPT-IBO,,,
BAPI,2,58,53607,49,0.085,0.001,0.002,0.001,0.00495,0.09395,T,BAPI Explorer,BC,BAPI Tools (for BAPIs see Note 813411),Application Components->Basis Components->Middleware->BAPI Tools (for BAPIs see Note 813411)->BAPI(BAPI Explorer),SAP->BC->BC-MID->BC-MID-API->BAPI(BAPI E,,,
/SMB/BBI,1,5,6837,1220,0.042,0,0,0.027,0.02475,0.09375,T,Solution Builder,SV,Implementation Framework Infrastructure,Application Components->Service->SAP S/4H Content Packaging and Framework->Implementation Framework->Implementation Framework Infrastructure->/SMB/BBI(Solution Builder),SAP->SV->SV-CLD->SV-CLD-FRM->SV-CLD-FRM-,,,
FBV3,2,21,12449,89,0.085,0,0.001,0.002,0.00495,0.09295,T,Display Parked Document,FI,Financial Accounting,Application Components->Financial Accounting->FBV3(Display Parked Document),SAP->FI->FBV3(Display Parked Document),,,
VF02,1,8,8138,1153,0.042,0,0,0.026,0.02475,0.09275,T,Change Billing Documents,SD,Billing,Application Components->Sales and Distribution->Billing->VF02(Change Billing Documents),SAP->SD->SD-BIL->VF02(Change Billing Doc,,,
COR3,2,10,12,49009,0.085,0.004,0,0,0.0033,0.0923,W,Display Process Order,PP,Production Planning and Control,Application Components->Production Planning and Control->Production Planning for Process Industries->Process Order->COR3(Display Process Order),PP-PI-POR,,,
cus.sd.sofulfil.prdtddelivs1,2,2,4,57324,0.085,0.001,0,0.001,0.0051,0.0921,F,Predicted Delivery Delay,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales and Distribution->Sales and Distribution->cus.sd.sofulfil.prdtddelivs1(Predicted Delivery Delay),SD-FIO-HBA,,,
FK02,1,2,84,235,0.042,0,0,0.005,0.04455,0.09155,T,Change Vendor (Accounting),LO,Vendor Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Vendor Master->FK02(Change Vendor (Accounting)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-VM->F,,,
MDG_MONITOR_CR_PROCESTIME,2,8,16,2204,0.085,0.003,0,0,0.00315,0.09115,W,Change Request: Processing Time,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Analytics and Reporting->MDG_MONITOR_CR_PROCESTIME(Change Request: Processing Time),CA-MDG-ANR,,,
USMD_EDITION_CREQUEST,2,8,20,692,0.085,0.003,0,0,0.00315,0.09115,W,Display Change Requests,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Application Framework->USMD_EDITION_CREQUEST(Display Change Requests),CA-MDG-AF,,,
ME53N,2,5,8743,44,0.085,0,0,0.001,0.00495,0.09095,T,Display Purchase Requisition,MM,Purchasing,Application Components->Materials Management->Purchasing->ME53N(Display Purchase Requisition),SAP->MM->MM-PUR->ME53N(Display Purchase,,,
FB00,2,4,1549,26,0.085,0,0,0.001,0.00495,0.09095,T,Accounting Editing Options,FI,Financial Accounting,Application Components->Financial Accounting->FB00(Accounting Editing Options),SAP->FI->FB00(Accounting Editing Options,,,
ST05,2,143,35307,48,0.085,0.002,0.002,0.001,0,0.09,T,Performance Trace,BC,Transaction ST05,Application Components->Basis Components->Test Workbench->Use Subcomponents (See SAP Note 1156876)->Performance Test Tools->Transaction ST05->ST05(Performance Trace),SAP->BC->BC-TWB->BC-TWB-TST->BC-TWB-TST-,,,
OX15,2,2,1151,0,0.085,0,0,0,0.00495,0.08995,T,Define internal trading partner,FI,Basic Functions,Application Components->Financial Accounting->Consolidation->Basic Functions->OX15(Define internal trading partner),SAP->FI->FI-LC->FI-LC-LC->OX15(Define in,,,
STAD,2,46,44272,37,0.085,0.001,0.002,0.001,0,0.089,T,Statistics display for all systems,BC,CCMS Monitoring & Alerting,Application Components->Basis Components->Use Subcomponents->CCMS Monitoring & Alerting->STAD(Statistics display for all systems),SAP->BC->BC-CCM->BC-CCM-MON->STAD(Statis,,,
SAPHTML_EVENTS_DEMO,2,3,3,184,0.085,0,0,0.004,0,0.089,R,Demo for HTML Control: Processing Contro,BC,SAP GUI for Windows Controls,Application Components->Basis Components->Frontend Services - Use subcomponents (see SAP Note 1322184)->SAP GUI for Windows Controls->SAPHTML_EVENTS_DEMO(Demo for HTML Control: Processing Control Even,SAP->BC->BC-FES->BC-FES-CTL->SAPHTML_EVE,,,
S_AHR_61016408,2,115,17702,0,0.085,0.002,0.001,0,0,0.088,T,Travel Expense Reporting by Period,CA,Cross-Application Components,Application Components->Cross-Application Components->S_AHR_61016408(Travel Expense Reporting by Period),SAP->CA->S_AHR_61016408(Travel Expense R,,,
ST22,2,34,3551,93,0.085,0.001,0,0.002,0,0.088,T,ABAP Dump Analysis,BC,ABAP Syntax  Compiler  Runtime,Application Components->Basis Components->ABAP Runtime Environment - ABAP Language Issues Only->ABAP Syntax  Compiler  Runtime->ST22(ABAP Dump Analysis),SAP->BC->BC-ABA->BC-ABA-LA->ST22(ABAP Du,,,
USMD_FILE_UPLOAD,2,3,5,2200,0.085,0.001,0,0,0.00105,0.08705,W,File Upload,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Application Framework->USMD_FILE_UPLOAD(File Upload),CA-MDG-AF,,,
USMD_ENTITY,2,3,5,2200,0.085,0.001,0,0,0.00105,0.08705,W,Collective Processing of an Entity,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Application Framework->USMD_ENTITY(Collective Processing of an Entity),CA-MDG-AF,,,
FI01,1,9,2467,9,0.042,0,0,0,0.04455,0.08655,T,Create Bank,CA,Bank,Application Components->Cross-Application Components->Bank->FI01(Create Bank),SAP->CA->CA-BK->FI01(Create Bank),,,
SSC1,2,2,0,39117,0.085,0.001,0,0,0.00045,0.08645,W,SAP (own) Appointment Calendar,BC,Basis Components,Application Components->Basis Components->Basis Services / Communication Interfaces->Use Subcomponents->Appointment Calendar->SSC1(SAP (own) Appointment Calendar),BC-SRV-GBT-CAL,,,
OV51,2,17,2742,46,0.085,0,0,0.001,0,0.086,T,Display of Changes for Customer,SD,Material Maintenance,Application Components->Sales and Distribution->Master Data->Material Maintenance->OV51(Display of Changes for Customer),SAP->SD->SD-MD->SD-MD-MM->OV51(Display o,,,
ABAPDOCU,2,4,4852,26,0.085,0,0,0.001,0,0.086,T,Display ABAP Documentation,BC,ABAP Syntax  Compiler  Runtime,Application Components->Basis Components->ABAP Runtime Environment - ABAP Language Issues Only->ABAP Syntax  Compiler  Runtime->ABAPDOCU(Display ABAP Documentation),SAP->BC->BC-ABA->BC-ABA-LA->ABAPDOCU(Dis,,,
SH02,2,24,5276,7,0.085,0,0,0,0,0.085,T,For Further Navigation,BC,F1 Help,Application Components->Basis Components->Documentation and Translation Tools->F1 Help->SH02(For Further Navigation),SAP->BC->BC-DOC->BC-DOC-HLP->SH02(For Fu,,,
